ID,Growth,Production,BGC type,BGC
HGNTOR,0.9999999999999948,1.0000000000148979,T1PKS,
CYTK1,0.9982172739213908,1.0000000000148976,T1PKS,
NAt3_2,1.0000000000429872,1.0000000000148699,T1PKS,
NAt3_15,1.0000000000429872,1.0000000000148699,T1PKS,
NAt3_1,1.0000000000429872,1.0000000000148699,T1PKS,
HMGL,1.0000000003164669,1.00000000001445,T1PKS,
PROD2,1.000000000042991,1.0000000000142262,T1PKS,
GEOSMS,0.9999999999999916,1.00000000001422,T1PKS,
GERDPM,0.9999999999999916,1.00000000001422,T1PKS,
ABUTD,1.0000000003164646,1.00000000001422,T1PKS,
GERMA,0.9999999999999916,1.00000000001422,T1PKS,
AACOATi,1.0000000003164646,1.00000000001422,T1PKS,
6PHBG,1.0000000003164646,1.00000000001422,T1PKS,
GERMB,0.9999999999999916,1.00000000001422,T1PKS,
GERMC,0.9999999999999916,1.00000000001422,T1PKS,
ABPYRATA,1.0000000003164646,1.00000000001422,T1PKS,
GERMD,0.9999999999999916,1.00000000001422,T1PKS,
GDPTPDP,0.9999999999999916,1.00000000001422,T1PKS,
GDPDPK,0.9999999999999916,1.00000000001422,T1PKS,
ABTA,1.0000000003164646,1.00000000001422,T1PKS,
GDPMNP,0.9999999999999916,1.00000000001422,T1PKS,
4HBHYOX,1.0000000003164646,1.00000000001422,T1PKS,
6ADOFUT,1.0000000003164646,1.00000000001422,T1PKS,
5DGLCNR,1.0000000003164646,1.00000000001422,T1PKS,
POX3,1.0000000000429907,1.000000000014136,T1PKS,
NTD11e,1.000000000316463,1.0000000000137452,T1PKS,
PIt2r,0.9975365195242544,1.0000000000136997,T1PKS,
ANS,0.999999999999992,1.0000000000135698,T1PKS,
CHIRAISO,1.000000000316463,1.0000000000134976,T1PKS,
TRE6PP,1.0000000000000064,1.0000000000133442,T1PKS,
IDOND,1.0000000000429825,1.0000000000132638,T1PKS,
NNDMBRT,1.000000000000002,1.000000000012892,T1PKS,
METSOXR1,1.000000000000005,1.0000000000126037,T1PKS,
ALBFLOLR,0.9999999999999896,1.0000000000125948,T1PKS,
LFORKYNHYD,0.9999999999999893,1.000000000012351,T1PKS,
CYSTGL,1.00000000004299,1.0000000000122775,T1PKS,
URIK2,0.9999999999999987,1.0000000000120874,T1PKS,
