,BGC ID,Core Number,Max Growth,Max NP,Gradient,Host Model BGC,Core Class,Core Subclass
48,BGC0002668,4,0.017813912772016226,0.005176597465624168,0.2905929501213263,BGC0002049,lanthipeptide,Class I
49,BGC0002668,4,0.019069436829195027,0.006106870229007624,0.32024386895674317,BGC0000515,lanthipeptide,Class I
50,BGC0002668,4,0.03382984384954584,0.010201912858661002,0.3015654729011692,BGC0000517,lanthipeptide,Class I
51,BGC0002668,3,0.032416211075673045,0.008586762075134162,0.26489098479427636,BGC0001660,lanthipeptide,Class I
52,BGC0002668,3,0.06403294931980019,0.015843595277389863,0.24742879167195764,BGC0001471,lanthipeptide,Class I
53,BGC0002668,3,0.028667016827906705,0.00795492210805435,0.27749389327146207,BGC0002667,lanthipeptide,Class I
54,BGC0002668,3,0.040210440671077964,0.011059907834101435,0.2750506497695873,BGC0001727,lanthipeptide,Class I
55,BGC0002668,3,0.10736434163145628,0.02114537444933921,0.19694969603524215,BGC0002307,lanthipeptide,Class I
56,BGC0002668,3,0.03206644595153777,0.008679927667269449,0.2706856781193488,BGC0000608,lanthipeptide,Class I
57,BGC0002668,3,0.03396836639972755,0.010367170626349892,0.305200741900648,BGC0002111,lanthipeptide,Class I
58,BGC0002668,3,0.032240419603150425,0.00870353581142339,0.26995727470534875,BGC0002064,lanthipeptide,Class I
59,BGC0002668,3,0.03981140316494748,0.01073345259391769,0.2696074928443645,BGC0000542,lanthipeptide,Class I
60,BGC0002668,3,0.026087948643590365,0.007401696222050882,0.2837208982266772,BGC0000513,lanthipeptide,Class I
61,BGC0002668,3,0.034192510265259435,0.010412147505423004,0.3045154457700651,BGC0000575,lanthipeptide,Class I
62,BGC0002668,3,0.04028522029971038,0.011029411764705883,0.27378308180147093,BGC0000540,lanthipeptide,Class I
63,BGC0002668,3,0.03346597654477797,0.009917355371900794,0.29634143078512076,BGC0001210,lanthipeptide,Class I
64,BGC0002668,3,0.03257532862356301,0.008847926267281134,0.27161433640553,BGC0000501,lanthipeptide,Class I
